46551
USA,NEW YORK,KJFK,R
CANADA,CHARLOTTETOWN,CYYG,O
IRELAND,DONEGAL,EIDL,O
FINLAND,MARIEHAMN,EFMA,O
SWEDEN,BYHOLMA,ESFY,O
NETHERLANDS,ENSCHEDE,EHTW,O
BELGIUM,KLEINE BROGEL,EBBL,O
FRANCE,HAGUENAU,LFSH,O
SWITZERLAND,GENEVA,LSGG,O
SPAIN,GERONA,LEGE,O
ITALY,BOLZANO,LIPB,O
AUSTRIA,LANGENLEBARN,LOXT,O
TURKEY,AKHISAR,LTBT,O
EGYPT,EL-GORA,HEGR,O
ISRAEL,BEER-SHEBA,LLBS,O
SAUDI ARABIA,TURAIF,OETR,O
INDIA,LEH,VILH,O
CHINA,HANGZHOU,ZSHC,O
JAPAN,ISHIGAKI,ROIG,O
INDONESIA,JAYAPURA,WAJJ,O
AUSTRALIA,NORFOLK ISLAND,YSNF,O
NEW ZEALAND,KERIKERI,NZKK,O
CHILE,EASTER ISLAND,SCIP,O
MEXICO,AGUASCALIENTES,MMAS,O
BRAZIL,CIUDAD ACUNA,MMCC,O
