53943
USA,NEW YORK,KJFK,R
CANADA,KINGSTON,CYGK,O
FRANCE,MIQUELON,LFVM,O
IRELAND,KERRY,EIKY,O
BELGIUM,KOKSIJDE,EBFN,O
NETHERLANDS,WOENSDRECHT,EHWO,O
SWITZERLAND,LES EPLATURES,LSGC,O
ITALY,AOSTA,LIMW,O
AUSTRIA,INNSBRUCK,LOWI,H
SPAIN,GERONA,LEGE,O
SWEDEN,MALMOE,ESMS,O
FINLAND,MARIEHAMN,EFMA,O
TURKEY,CORLU,LTBU,O
EGYPT,MERSA-MATRUH,HEMM,O
ISRAEL,RAMON,LLRM,O
SAUDI ARABIA,GURIAT,OEGT,O
INDIA,JAISALMER,VIJR,O
CHINA,HOTAN,ZWTN,O
INDONESIA,SABANG,WIAA,O
JAPAN,YONAGUNI JIMA,ROYN,O
AUSTRALIA,AMBERLEY,YBAM,O
NEW ZEALAND,KAITAIA,NZKT,O
CHILE,EASTER ISLAND,SCIP,O
BRAZIL,CRUIZIRO DO SUL,SBCZ,O
MEXICO,TAPACHULA,MMTP,O
